"ID","Date","UTC","Age","Callsign","SNR (db)","Mode","Band","QRG (MHz)","Country","DXCC","Locator","QRB (km)"
"28","2021-10-19","02:57:34","7h:52m","3D2USU","-17","FT8","20m","14.0743","Fiji","3D2","RH82RH","12011"
"195","2021-10-18","12:26:26","22h:23m","VK2QV","1","FT8","20m","14.0742","Australia","VK","QF56LG","10012"
"43","2021-10-18","15:03:27","19h:46m","VK5GR","-17","FT8","20m","14.0743","Australia","VK","PF95ID","9056"
"8","2021-10-19","10:37:30","12min","VK5ARG","-9","FT8","20m","14.0743","Australia","VK","PF95IT","9019"
"42","2021-10-18","15:05:30","19h:44m","ZS1VV","-12","FT8","20m","14.0743","South Africa","ZS","KF05PW","8085"
"60","2021-10-18","14:48:27","20h:01m","G1HCM","-19","FT8","20m","14.0743","England","G","IO90","7871"
"121","2021-10-18","13:49:29","21h:00m","GI7AXB","-14","FT8","20m","14.0743","Northern Ireland","GI","IO74AS11","7702"
"79","2021-10-18","14:37:29","20h:12m","GM8FXD","-16","FT8","20m","14.0743","Scotland","GM","IO77SH","7600"
"118","2021-10-18","13:50:29","20h:59m","GØJHC","-14","FT8","20m","14.0743","England","G","IO83PQ24","7495"
"49","2021-10-18","14:57:27","19h:52m","G7JAF","-17","FT8","20m","14.0743","England","G","IO93FI","7418"
"80","2021-10-18","14:36:27","20h:13m","ZS5ZP","-5","FT8","20m","14.0742","South Africa","ZS","KF59DA","7222"
"25","2021-10-19","05:45:26","5h:04m","VK6MIT","-10","FT8","20m","14.0743","Australia","VK","OF78WC","7175"
"1","2021-10-19","10:48:26","1min","VK6FR","-","FT8","20m","14.0742","Australia","VK","OF78VE","7163"
"179","2021-10-18","12:46:29","22h:03m","VK4ABW","-12","FT8","20m","14.0742","Australia","VK","PH57KQ","7127"
"164","2021-10-18","13:01:27","21h:48m","LA1B","-19","FT8","20m","14.0743","Norway","LA","JP20RH","7055"
"191","2021-10-18","12:33:27","22h:16m","ZS6DPS","-6","FT8","20m","14.0742","South Africa","ZS","KG33WV","7036"
"55","2021-10-18","14:49:28","20h:00m","ON7DE","-22","FT8","20m","14.0743","Belgium","ON","JO20DX","7011"
"81","2021-10-18","14:35:30","20h:14m","ZS6UB","-17","FT8","20m","14.0743","South Africa","ZS","KG43DT","7010"
"113","2021-10-18","13:51:29","20h:58m","LA7DFA","-18","FT8","20m","14.0743","Norway","LA","JP33VJ","7001"
"37","2021-10-18","15:23:27","19h:26m","ZR6AMC","-9","FT8","20m","14.0743","South Africa","ZS","KG44DG","6977"
"109","2021-10-18","13:53:27","20h:56m","ON3CQ","-14","FT8","20m","14.0743","Belgium","ON","JO21LH86","6967"
"114","2021-10-18","13:51:27","20h:58m","JH8FIH","-17","FT8","20m","14.0742","Japan","JA","QN14QI25","6967"
"67","2021-10-18","14:42:30","20h:07m","PAØADG","-10","FT8","20m","14.0743","Netherlands","PA","JO22NB","6963"
"66","2021-10-18","14:43:27","20h:06m","PD1AIQ","-15","FT8","20m","14.0742","Netherlands","PA","JO22RM","6944"
"69","2021-10-18","14:41:29","20h:08m","PA3AIW","-18","FT8","20m","14.0743","Netherlands","PA","JO21RX70","6939"
"98","2021-10-18","14:06:27","20h:43m","ON5HE","-14","FT8","20m","14.0753","Belgium","ON","JO20PI","6936"
"106","2021-10-18","13:59:27","20h:50m","PA3CPS","-19","FT8","20m","14.0743","Netherlands","PA","JO32BH","6897"
"68","2021-10-18","14:42:27","20h:07m","PA2CV","-19","FT8","20m","14.0743","Netherlands","PA","JO32BF71","6896"
"123","2021-10-18","13:46:27","21h:03m","JR8ORC","-18","FT8","20m","14.0743","Japan","JA","QN05UJ","6838"
"54","2021-10-18","14:49:29","20h:00m","F4EJL","-16","FT8","20m","14.0743","France","F","JN39HF43","6831"
"124","2021-10-18","13:46:27","21h:03m","LB1RJ","-17","FT8","20m","14.0742","Norway","LA","JO49PN","6830"
"119","2021-10-18","13:50:27","20h:59m","JA7FTR","-16","FT8","20m","14.0742","Japan","JA","QM08TV","6826"
