"ID","Date","UTC","Age","Callsign","SNR (db)","Mode","Band","QRG (MHz)","Country","DXCC","Locator","QRB (km)"
"74","2021-11-06","02:27:29","11h:48m","PY2NL","-13","FT8","20m","14.0747","Brazil","PY","GG77KG30","13716"
"63","2021-11-06","10:35:30","3h:40m","3D2MP","-17","FT8","20m","14.0759","Fiji","3D2","RH91FU36","12127"
"61","2021-11-06","10:55:34","3h:20m","3D2USU","-14","FT8","20m","14.0747","Fiji","3D2","RH82RH","12011"
"35","2021-11-06","12:28:30","1h:47m","FK8HM","-18","FT8","20m","14.0747","New Caledonia","FK","RG37FS","11033"
"18","2021-11-06","12:53:30","1h:22m","VK2AMA","-18","FT8","20m","14.0747","Australia","VK","QF54HU","10044"
"30","2021-11-06","12:37:29","1h:38m","VK2AHE","-14","FT8","20m","14.0747","Australia","VK","QF57TA","10038"
"32","2021-11-06","12:36:27","1h:39m","VK2LAW","-16","FT8","20m","14.0747","Australia","VK","QF56NB","10035"
"34","2021-11-06","12:29:28","1h:46m","VK1OO","-9","FT8","20m","14.0747","Australia","VK","QF44NO44","9930"
"10","2021-11-06","13:12:29","1h:03m","VK3XN","-16","FT8","20m","14.0747","Australia","VK","QF22PE","9731"
"9","2021-11-06","13:16:27","59min","VK3MB","-17","FT8","20m","14.0747","Australia","VK","QF22NJ","9708"
"15","2021-11-06","12:56:30","1h:19m","VK5ARG","-10","FT8","20m","14.0747","Australia","VK","PF95IT","9019"
"4","2021-11-06","13:50:32","25min","ZS6HON","-7","FT8","20m","14.0747","South Africa","ZS","KG44","7620"
"49","2021-11-06","11:55:27","2h:20m","VK6LG","-10","FT8","20m","14.0747","Australia","VK","OF84WX","7553"
"14","2021-11-06","12:58:26","1h:17m","VK6AXD","-10","FT8","20m","14.0747","Australia","VK","OF77VQ","7203"
"58","2021-11-06","11:32:29","2h:43m","VK6RK","-14","FT8","20m","14.0747","Australia","VK","OF77XW84","7194"
"26","2021-11-06","12:39:26","1h:36m","VK6TB","-13","FT8","20m","14.0747","Australia","VK","OF77VW","7183"
"29","2021-11-06","12:38:26","1h:37m","VK6ZG","-10","FT8","20m","14.0757","Australia","VK","OF78WB","7178"
"20","2021-11-06","12:53:27","1h:22m","VK6EI","-9","FT8","20m","14.0747","Australia","VK","OF78XE","7174"
"41","2021-11-06","12:14:29","2h:01m","VK4ABW","-17","FT8","20m","14.0747","Australia","VK","PH57KQ","7127"
"47","2021-11-06","12:02:27","2h:13m","OZ1BUR","-15","FT8","20m","14.0747","Denmark","OZ","JO46HI48","6799"
"48","2021-11-06","11:56:27","2h:19m","JH7RTQ","-8","FT8","20m","14.0747","Japan","JA","QM07FS36","6727"
"3","2021-11-06","13:56:29","19min","JM1HXU","-17","FT8","20m","14.0747","Japan","JA","QM05AU19","6697"
"56","2021-11-06","11:37:26","2h:38m","JH1LZU","-14","FT8","20m","14.0747","Japan","JA","PM95SI","6653"
"55","2021-11-06","11:37:29","2h:38m","JR1NHD","-16","FT8","20m","14.0747","Japan","JA","PM95SO","6652"
"37","2021-11-06","12:27:29","1h:48m","JH1RKS","-10","FT8","20m","14.0747","Japan","JA","PM96PF","6628"
"54","2021-11-06","11:39:29","2h:36m","JE1LET","-15","FT8","20m","14.0748","Japan","JA","PM95NG81PN","6616"
"38","2021-11-06","12:26:29","1h:49m","JE1CSW","-15","FT8","20m","14.0747","Japan","JA","PM96NJ","6612"
"5","2021-11-06","13:39:29","36min","JA1GPN","-17","FT8","20m","14.0747","Japan","JA","PM96MH","6605"
"51","2021-11-06","11:44:29","2h:31m","JAØEIY","-19","FT8","20m","14.0747","Japan","JA","PM96HX","6567"
"53","2021-11-06","11:40:27","2h:35m","DL1NEO","-15","FT8","20m","14.0747","Germany","DL","JN59KV30","6535"
"33","2021-11-06","12:30:29","1h:45m","JE2WTX","-12","FT8","20m","14.0747","Japan","JA","PM84LW","6420"
"24","2021-11-06","12:41:30","1h:34m","JI2KUJ","-18","FT8","20m","14.0747","Japan","JA","PM85KA","6412"
"23","2021-11-06","12:42:27","1h:33m","JA2JRG","-16","FT8","20m","14.0747","Japan","JA","PM84HM","6390"
"22","2021-11-06","12:43:29","1h:32m","JG3SKK","-18","FT8","20m","14.0747","Japan","JA","PM74QG81","6275"
"45","2021-11-06","12:10:29","2h:05m","JM3OCJ","-18","FT8","20m","14.0747","Japan","JA","PM74HT","6207"
"6","2021-11-06","13:31:29","44min","JG4CSI","-17","FT8","20m","14.0747","Japan","JA","PM64XM","6145"
"44","2021-11-06","12:10:29","2h:05m","JH4JOM","-19","FT8","20m","14.0747","Japan","JA","PM64FK","6008"
"43","2021-11-06","12:13:26","2h:02m","JR4VUV","-15","FT8","20m","14.0747","Japan","JA","PM54OA","5891"
"42","2021-11-06","12:14:27","2h:01m","JA4LVZ","-16","FT8","20m","14.0747","Japan","JA","PM64","5452"
"2","2021-11-06","14:00:30","15min","FR4UB","-13","FT8","20m","14.0747","Reunion Island","FR","LG97","5436"
"59","2021-11-06","11:19:27","2h:56m","YB2MDU","-10","FT8","20m","14.0747","Indonesia","YB","OI53KD","4940"
"65","2021-11-06","10:10:29","4h:05m","YB2TX","-14","FT8","20m","14.0746","Indonesia","YB","OI53FA","4910"
"69","2021-11-06","02:59:30","11h:16m","YB2HND","-15","FT8","20m","14.0747","Indonesia","YB","OI52EW","4908"
"66","2021-11-06","03:11:27","11h:04m","R8ØØSAN","-13","FT8","20m","14.0762","Russia-AS","UA9","OO06VH","4805"
"11","2021-11-06","12:59:27","1h:16m","YB1BZV","-3","FT8","20m","14.0747","Indonesia","YB","OI33VA07","4675"
"67","2021-11-06","03:08:29","11h:07m","YC1INQ","-19","FT8","20m","14.0750","Indonesia","YB","OI33MG","4592"
"71","2021-11-06","02:46:26","11h:29m","YG1AEX","-10","FT8","-","0.0000","Indonesia","YB","OI33MG","4592"
"62","2021-11-06","10:46:29","3h:29m","RWØSR","-18","FT8","20m","14.0746","Russia-AS","UA9","OO22CG","4586"
"16","2021-11-06","12:55:30","1h:20m","TA4/G8SCU","-14","FT8","20m","14.0747","Asiatic Turkey","TA","KM56VO","4575"
"17","2021-11-06","12:54:29","1h:21m","YC1AYO","-15","FT8","20m","14.0747","Indonesia","YB","OI33MN","4572"
"76","2021-11-06","02:15:29","12h:00m","YCØDMS","-19","FT8","20m","14.0748","Indonesia","YB","OI33JQ","4542"
"39","2021-11-06","12:23:29","1h:52m","YCØSAS","-15","FT8","20m","14.0747","Indonesia","YB","OI33JS","4536"
"19","2021-11-06","12:53:29","1h:22m","9M8DEN","-17","FT8","20m","14.0747","East Malaysia","9M6","OJ51EM","4401"
"21","2021-11-06","12:43:31","1h:32m","UC8S","-14","FT8","20m","14.0747","Russia-EU","UA","LO63IS","4327"
"73","2021-11-06","02:35:30","11h:40m","RV9WF","-17","FT8","20m","14.0747","Russia-EU","UA","LO74UT","4327"
"46","2021-11-06","12:02:29","2h:13m","YCØUCS","-19","FT8","20m","14.0746","Indonesia","YB","OI33","4294"
"13","2021-11-06","12:58:30","1h:17m","VR2BG","-14","FT8","20m","14.0747","Hong Kong","VR","OL72BI","4199"
"50","2021-11-06","11:45:30","2h:30m","UN7LAP","-16","FT8","20m","14.0747","Kazakhstan","UN","MO13TD","3957"
"8","2021-11-06","13:17:30","58min","YC4AOK","-15","FT8","20m","14.0747","Indonesia","YB","OI18SI","3941"
"27","2021-11-06","12:38:30","1h:37m","9M2CNC","-7","FT8","20m","14.0747","West Malaysia","9M2","OJ03TB","3471"
"64","2021-11-06","10:11:29","4h:04m","E21TMW","-5","FT8","-","0.0000","Thailand","HS","OK02SQ","3024"
"57","2021-11-06","11:36:27","2h:39m","HS2AQG","-15","FT8","20m","14.0747","Thailand","HS","OK02QP","3008"
"40","2021-11-06","12:18:29","1h:57m","BG8TFC","-11","FT8","20m","14.0747","China","BY","OL05SA","2936"
"60","2021-11-06","11:04:15","3h:11m","HZ1SF","-10","FT8","20m","14.0747","Saudi Arabia","HZ","LL34HT","2907"
"72","2021-11-06","02:36:29","11h:39m","9K2OD","-11","FT8","20m","14.0747","Kuwait","9K","LL49AI","2890"
"12","2021-11-06","12:59:15","1h:16m","HS/F8UKP","-17","FT8","20m","14.0747","Thailand","HS","OK03GR","2889"
"36","2021-11-06","12:28:26","1h:47m","E2ØEHQ","-15","FT8","20m","14.0747","Thailand","HS","OK03DT","2861"
"75","2021-11-06","02:26:27","11h:49m","UN3G","-14","FT8","20m","14.0747","Kazakhstan","UN","MN83JD","2754"
"52","2021-11-06","11:40:28","2h:35m","EX8ABG","-15","FT8","20m","14.0747","Kyrgyzstan","EX","MN72HT","2705"
"31","2021-11-06","12:37:27","1h:38m","A65IN","-5","FT8","20m","14.0747","United Arab Emirates","A6","LL74HK","2106"
"25","2021-11-06","12:41:27","1h:34m","A65DR","-13","FT8","20m","14.0748","United Arab Emirates","A6","LL75PB","2060"
"70","2021-11-06","02:56:27","11h:19m","A65BR","-14","FT8","20m","14.0747","United Arab Emirates","A6","LL75SL88UN","2050"
"7","2021-11-06","13:26:27","49min","8Q7PR","-6","FT8","20m","14.0746","Maldives","8Q","MJ64SE","1596"
"1","2021-11-06","14:10:26","5min","VU2MB","-7","FT8","20m","14.0747","India","VU","ML88SM","1171"
"28","2021-11-06","12:38:29","1h:37m","VU2RC","-4","FT8","20m","14.0747","India","VU","MK82UV28FM","744"
"68","2021-11-06","03:01:30","11h:14m","VU2MGS","-17","FT8","20m","14.0747","India","VU","MK83UB","728"
"77","2021-11-06","01:55:29","12h:20m","VU2GHO","-6","FT8","20m","14.0747","India","VU","MK83UB","728"
